"Part";"Value";"Device";"Package";"Description";"";
"C1";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C2";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C3";"4.7uF";"4.7UF-6.3V-10%(0603)0603";"0603-CAP";"CAP-08280";"";
"C4";"4.7uF";"4.7UF-6.3V-10%(0603)0603";"0603-CAP";"CAP-08280";"";
"C8";"0.1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C9";"0.1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C10";"10uf , 20V";"CAP_POL3528";"EIA3528";"Capacitor Polarized";"";
"C11";"0.1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C12";"0.1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C13";"10uf , 20V";"CAP_POL3528";"EIA3528";"Capacitor Polarized";"";
"C14";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C16";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C17";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C18";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C19";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C20";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C21";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C22";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"D2";"Green";"LED0603";"LED-0603";"LEDs";"";
"D3";"Red";"LED0603";"LED-0603";"LEDs";"";
"D11";"RED";"LED-RED0603";"LED-0603";"Assorted Red LEDs";"";
"J1";"JST_6_PIN_VERTICAL";"JST_6_PIN_VERTICAL";"JST-6-SMD-VERT-1.0MM";"JST 6 pin vertical connector";"";
"J2";"DNL";"2-828430-1";"TE_2-828430-1";"";"";
"J3";"JST_6_PIN_VERTICAL";"JST_6_PIN_VERTICAL";"JST-6-SMD-VERT-1.0MM";"JST 6 pin vertical connector";"";
"J4";"JST_6_PIN_VERTICAL";"JST_6_PIN_VERTICAL";"JST-6-SMD-VERT-1.0MM";"JST 6 pin vertical connector";"";
"J5";"JST_6_PIN_VERTICAL";"JST_6_PIN_VERTICAL";"JST-6-SMD-VERT-1.0MM";"JST 6 pin vertical connector";"";
"J6";"JST_6_PIN_VERTICAL";"JST_6_PIN_VERTICAL";"JST-6-SMD-VERT-1.0MM";"JST 6 pin vertical connector";"";
"JP1";"JST";"JST_2MM_MALE";"JST-2-SMD";"Mates to single-cell LiPo batteries.";"";
"JP2";"DNL";"PINHD-1X5";"1X05";"PIN HEADER";"";
"JP3";"DNL";"M01SMDNS";"1X01NS";"Header 1";"";
"JP4";"DNL";"PINHD-1X3";"1X03";"PIN HEADER";"";
"JP5";"DNL";"PINHD-2X16";"2X16";"PIN HEADER";"";
"JP6";"DNL";"PINHD-2X3";"2X03";"PIN HEADER";"";
"JP7";"DNL";"PINHD-2X3";"2X03";"PIN HEADER";"";
"JP8";"DNL";"PINHD-1X3";"1X03";"PIN HEADER";"";
"JP9";"Micro USB";"USB-ABCONN-11794";"USB-AB-MICRO-SMD_V03";"This is a USB AB connector that is compatible with USB OTG. i.e. this connector can serve as a host or device";"";
"JP10";"DNL";"PINHD-1X3";"1X03";"PIN HEADER";"";
"JP11";"DNL";"PINHD-1X3";"1X03";"PIN HEADER";"";
"JP12";"DNL";"PINHD-1X3";"1X03";"PIN HEADER";"";
"JP13";"DNL";"PINHD-1X10";"1X10";"PIN HEADER";"";
"JP14";"DNL";"PINHD-1X3";"1X03";"PIN HEADER";"";
"JP15";"DNL";"PINHD-1X2";"1X02";"PIN HEADER";"";
"JP16";"DNL";"PINHD-1X2";"1X02";"PIN HEADER";"";
